time,depth,latitude,longitude,EWCT
UTC,m,degrees_north,degrees_east,m s-1
2019-08-01T00:00:00Z,0,42.186005,5.8334193,NaN
2019-08-01T00:00:00Z,0,42.186005,5.845705,NaN
2019-08-01T00:00:00Z,0,42.186005,5.8579903,NaN
2019-08-01T00:00:00Z,0,42.186005,5.8702755,NaN
2019-08-01T00:00:00Z,0,42.186005,5.8825607,NaN
2019-08-01T00:00:00Z,0,42.186005,5.894846,NaN
2019-08-01T00:00:00Z,0,42.186005,5.907131,NaN
2019-08-01T00:00:00Z,0,42.186005,5.9194164,NaN
2019-08-01T00:00:00Z,0,42.186005,5.9317017,NaN
2019-08-01T00:00:00Z,0,42.186005,5.943987,NaN
2019-08-01T00:00:00Z,0,42.186005,5.956272,NaN
2019-08-01T00:00:00Z,0,42.186005,5.9685574,NaN
2019-08-01T00:00:00Z,0,42.186005,5.9808426,NaN
2019-08-01T00:00:00Z,0,42.186005,5.993128,NaN
2019-08-01T00:00:00Z,0,42.186005,6.005413,NaN
2019-08-01T00:00:00Z,0,42.186005,6.0176983,NaN
2019-08-01T00:00:00Z,0,42.186005,6.0299835,NaN
2019-08-01T00:00:00Z,0,42.186005,6.0422688,NaN
2019-08-01T00:00:00Z,0,42.186005,6.054554,NaN
2019-08-01T00:00:00Z,0,42.186005,6.066839,NaN
2019-08-01T00:00:00Z,0,42.186005,6.0791245,NaN
2019-08-01T00:00:00Z,0,42.186005,6.0914097,NaN
2019-08-01T00:00:00Z,0,42.186005,6.103695,NaN
